human_means,ai_means,percentage_diff
1253.8791727140783,2489.201015965167,98.5200065630868
277.04716981132077,524.6168359941945,89.3601137854892
17.866835994194485,29.29934687953556,63.98732763347616
141.85486211901306,245.17053701015965,72.83195891055678
84.57144775036285,74.94859216255443,-11.378373959274136
6.458900950158343,6.128419146986844,-5.11668789662113
39.43142235123367,90.8410740203193,130.37737064404223
37.583817126269956,68.55914368650218,82.41665942595651
43.91690856313498,69.9789550072569,59.34399140744413
16.14912917271408,31.161465892597967,92.96065787404227
17.971698113207548,23.507619738751814,30.80355340197858
0.7376632801161103,0.5801886792452831,-21.347761928184937
0.0867198838896952,0.013788098693759071,-84.10041841004184
0.5899619375907112,0.8803492017416547,49.221355760140725
